Product Name,Product URL,Product Price,Rating,Review Count,Description,ASIN,Product Description,Manufacturer
POLICE Polyester 35 Ltr Laptop Big Low Spec Laptop Backpack - Black/Navy,https://www.amazon.in/Police-Polyester-Laptop-Spec-Backpack/dp/B07ZB8NWTZ,"₹1,569",3.3,211,N/A,N/A,N/A,N/A
Skybags Unisex Black Gucci Fabric 10L Backpacks,https://www.amazon.in/Skybags-Unisex-Black-Fabric-Backpacks/dp/B0B221QMF2,₹448,3.9,103,N/A,N/A,N/A,N/A
Wildcraft 45 Ltrs Black Rucksack (8903338073840),https://www.amazon.in/Wildcraft-Ltrs-Black-Rucksack-8903338073840/dp/B01G5I8VDS,"₹1,745",4.3,"1,070",N/A,N/A,N/A,N/A
American Tourister Harp Duffle Bag 62 CM Teal,https://www.amazon.in/American-Tourister-Harp-Duffle-Teal/dp/B0BTHQJ45P,"₹1,499",3.8,8,N/A,N/A,N/A,N/A
POLICE Polyester 35 Ltr Laptop Big Low Spec Laptop Backpack - Black/Navy,https://www.amazon.in/Police-Polyester-Laptop-Spec-Backpack/dp/B07ZB8NWTZ,"₹1,569",3.3,211,N/A,N/A,N/A,N/A
"Storite Canvas Sling Cross Body Travel Office Business Messenger One Side Shoulder Bag for Men & Women (Grey, 33cm x 6.5cm x 27cm)",https://www.amazon.in/Storite-Canvas-Business-Messenger-Bag/dp/B09DYTDSY6,₹899,4.0,"2,360",N/A,N/A,N/A,N/A
Skybags Unisex Black Gucci Fabric 10L Backpacks,https://www.amazon.in/Skybags-Unisex-Black-Fabric-Backpacks/dp/B0B221QMF2,₹448,3.9,103,N/A,N/A,N/A,N/A
Wildcraft 45 Ltrs Black Rucksack (8903338073840),https://www.amazon.in/Wildcraft-Ltrs-Black-Rucksack-8903338073840/dp/B01G5I8VDS,"₹1,745",4.3,"1,070",N/A,N/A,N/A,N/A
American Tourister Harp Duffle Bag 62 CM Teal,https://www.amazon.in/American-Tourister-Harp-Duffle-Teal/dp/B0BTHQJ45P,"₹1,499",3.8,8,N/A,N/A,N/A,N/A
"MOKOBARA The Overnighter Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women",https://www.amazon.in/MOKOBARA-Overnighter-Expandable-Resistant-Detachable/dp/B0B7X2WB12,"₹8,499",4.4,56,N/A,N/A,N/A,N/A
